#"Step","Potential Energy (kJ/mole)","Temperature (K)"
320000,-77674.43274363587,304.1346684040287
325000,-78189.22571238587,312.70256029717086
330000,-78532.39758738587,319.18275053184743
335000,-78351.16321238587,312.78376921419954
340000,-78199.76868113587,310.9728889039862
345000,-78466.12805613587,318.44129130918344
350000,-78487.32727488587,324.0230085329726
355000,-78535.13977488587,311.2269887963167
360000,-78775.95227488587,312.2015360120065
365000,-78540.46008738587,311.8896032143198
370000,-79094.40539988587,312.1748893047245
375000,-78628.63977488587,311.94747322883023
380000,-78604.26477488587,314.3326144954328
385000,-78677.47180613587,315.35111999064713
390000,-78378.34680613587,319.8874068542999
395000,-78101.01477488587,318.85242893936953
400000,-78713.81164988587,316.66076846024515
405000,-78028.88977488587,313.1530450337772
410000,-78490.04602488587,311.40147373799465
415000,-78313.95227488587,310.5445671151398
420000,-78603.76086863587,310.48665040093783
425000,-78687.89758738587,317.17183932462143
430000,-78856.18664988587,311.9899898275516
435000,-78763.47571238587,308.8139470502563
440000,-78756.63977488587,313.5538928337892
445000,-78868.08508738587,305.866710693146
450000,-78462.95227488587,310.7053336141512
455000,-78823.42493113587,313.21806303036885
460000,-78402.58118113587,310.4041609591725
465000,-78771.39758738587,316.874308145134
470000,-78584.60852488587,308.90439731937596
475000,-78306.14758738587,316.5330567069927
480000,-78610.44446238587,308.23740216509805
485000,-79003.16711863587,308.932110088054
490000,-78829.42883738587,312.23100338700925
495000,-78536.47180613587,311.02079222835175
500000,-78297.21008738587,311.76571497872266
505000,-78689.53039988587,315.8646974168198
510000,-78795.60852488587,306.6528174626983
515000,-78897.12414988587,309.16125291589464
520000,-78074.22180613587,315.61028411966595
525000,-78440.96789988587,322.2615038355616
530000,-78666.11633738587,313.8521896812871
535000,-79133.89368113587,315.1906718319468
540000,-79285.19446238587,313.9416755226337
545000,-78767.38196238587,314.4605877471656
550000,-79161.56946238587,314.11896326883823
555000,-78359.36243113587,317.194952027406
560000,-79290.59289988587,314.56752095959087
565000,-78666.63196238587,314.86089491360235
570000,-79076.66711863587,308.90368579502154
575000,-79369.78821238587,309.5398736095128
580000,-78364.06555613587,312.33233760582124
585000,-78357.35071238587,314.5728326384394
590000,-78449.73743113587,310.894660037058
595000,-78627.90539988587,317.08410743773044
600000,-78699.00696238587,310.7679852417991
605000,-78670.32727488587,312.0823234408916
610000,-78957.28821238587,306.01035855216304
615000,-78915.13196238587,310.7430941761583
620000,-78794.35071238587,312.596616850513
625000,-78680.66711863587,307.3596201258542
630000,-79075.39758738587,310.1928022560127
635000,-78777.71789988587,311.6145874957255
640000,-78812.85852488587,316.9635535613191
645000,-79087.08508738587,316.6542395738226
650000,-78805.36633738587,308.10784085234764
655000,-78562.42883738587,315.23175286163746
660000,-78975.00696238587,316.819271758557
665000,-79049.22571238587,310.1455579297765
670000,-78961.15539988587,312.34913534899596
675000,-78885.99914988587,309.1598838635465
680000,-78488.81164988587,311.075661790809
685000,-78791.78039988587,310.9233421572311
690000,-78942.66711863587,313.30051163522256
695000,-79191.19836863587,314.55988688351204
700000,-79111.24914988587,307.3717144534473
705000,-78949.74524363587,311.18066238648817
710000,-78680.31164988587,315.8659675906149
715000,-78907.40149363587,318.838127428275
720000,-78952.96008738587,320.89639758388523
725000,-78591.89368113587,309.08728583446197
730000,-78767.20618113587,311.34313677307205
735000,-79031.82727488587,314.441993416327
740000,-79369.22571238587,311.9766996885454
745000,-79324.40149363587,311.8113841104776
750000,-79113.81946238587,313.9298724522294
755000,-79200.29602488587,310.1914020367495
760000,-78958.49133738587,308.51832658851663
765000,-78899.43274363587,317.07789781329615
770000,-79197.97571238587,313.66148917974635
775000,-78342.73743113587,315.0124719160765
780000,-78929.06946238587,311.77769666469146
785000,-78746.46789988587,322.68331613536105
790000,-79416.22961863587,317.4763953931635
795000,-79155.66321238587,317.57454424695106
